,City,Latitude,Longitude,MaxTemp,Cloudiness,Humidity,WindSpeed,Date
409,Deqing,30.5448,119.9599,283.71,0,85,0.45,CN
410,Srandakan,-7.9386,110.2506,297.87,96,79,1.91,ID
411,Gal'bshtadt,53.2264,78.9845,249.81,0,90,3.86,RU
412,Kavaratti,10.5669,72.642,301.19,24,70,3.24,IN
413,Sobolevo,54.4299,31.8996,274.01,100,98,5.44,RU
414,Saint-François,46.4154,3.9054,280.15,75,76,4.63,FR
415,Kota Kinabalu,5.9749,116.0724,297.15,40,100,1.9,MY
416,Mossamedes,-15.1961,12.1522,297.77,39,76,1.71,AO
417,Aljezur,37.3191,-8.8033,284.26,2,80,6.18,PT
418,Elizabeth City,36.2946,-76.2511,284.82,20,46,4.12,US
419,Ballina,-28.8667,153.5667,296.15,0,88,3.16,AU
420,Tulagi,-9.0996,160.1476,298.7,100,81,3.58,SB
421,Nabire,-3.3667,135.4833,297.15,98,88,1.43,ID
422,Samarai,-10.6167,150.6667,299.84,100,85,7.44,PG
423,Ulladulla,-35.35,150.4667,288.71,90,100,7.2,AU
424,Ambon City,-3.6954,128.1814,297.15,40,94,3.6,ID
425,Manche,49.0,-1.1667,278.15,20,75,7.72,FR
426,Gumdag,39.2061,54.5906,271.84,5,65,2.38,TM
427,Dingle,10.9995,122.6711,296.94,100,94,1.66,PH
428,Dongsheng,39.8161,109.9776,279.01,83,84,8.71,CN
429,Amapá,1.0,-52.0,296.0,94,97,1.15,BR
430,Beruwala,6.4788,79.9828,297.49,17,88,2.43,LK
431,Yar-Sale,66.8333,70.8333,258.61,100,92,3.92,RU
432,Örnsköldsvik,63.2909,18.7153,271.15,90,100,1.54,SE
433,Mwinilunga,-11.7358,24.4293,290.94,96,97,1.37,ZM
434,Dolores,-36.3132,-57.6792,294.45,4,48,5.5,AR
435,Comodoro Rivadavia,-45.8667,-67.5,290.15,40,63,5.14,AR
436,Emerald,-23.5333,148.1667,297.59,40,83,3.09,AU
437,Aneby,57.839,14.8102,273.15,90,100,2.06,SE
438,Arman',59.7,150.1667,253.67,1,73,3.0,RU
439,Kathu,7.9178,98.3332,298.15,20,88,1.54,TH
440,Agüimes,27.9054,-15.4461,291.15,40,77,5.14,ES
441,Nemuro,43.3236,145.575,273.46,100,92,8.12,JP
442,Junín,-34.5838,-60.9433,302.7,0,21,2.31,AR
443,Dauphin,51.1494,-100.0502,278.15,1,56,3.09,CA
444,Rawson,-43.3002,-65.1023,291.02,28,68,9.38,AR
445,Banes,20.9625,-75.7186,301.15,40,57,7.2,CU
446,Noumea,-22.2763,166.4572,300.37,0,65,2.06,NC
447,Kamaishi,39.2667,141.8833,280.92,100,86,4.41,JP
448,Burns Lake,54.2331,-125.7533,283.15,100,46,4.63,CA
449,Elko,41.0002,-115.5012,284.15,1,15,5.14,US
450,Manacapuru,-3.2997,-60.6206,301.15,75,74,1.03,BR
451,Beloha,-25.1667,45.05,296.54,20,76,7.47,MG
452,Myitkyina,25.3833,97.4,291.26,0,48,1.02,MM
453,Iralaya,15.0,-83.2333,299.92,9,72,5.44,HN
454,Avon Park,27.5959,-81.5062,301.15,40,39,3.6,US
455,Labuhan,-6.8844,112.2051,298.36,100,83,2.5,ID
456,Kurumkan,54.3,110.3,269.17,100,90,0.62,RU
457,Vila Velha,-20.3297,-40.2925,302.04,0,78,6.17,BR
458,Bilma,18.6853,12.9164,299.53,0,11,2.37,NE
459,Belle Fourche,44.6714,-103.8522,283.71,90,40,7.2,US
460,Alexandria,31.2156,29.9553,287.61,5,69,2.0,EG
461,Maebaru-chūō,33.55,130.2,280.15,20,87,2.57,JP
462,Aksay,47.26,39.87,274.26,40,86,3.0,RU
463,Bam,29.106,58.357,284.26,0,40,2.67,IR
464,São Félix do Xingu,-6.6447,-51.995,296.13,82,98,1.2,BR
465,Omsukchan,62.5333,155.8,249.35,100,92,2.11,RU
466,Avera,33.194,-82.5271,299.15,90,47,2.57,US
467,Acapulco de Juárez,16.8634,-99.8901,302.15,1,74,5.66,MX
468,Broken Hill,-31.95,141.4333,283.15,58,76,7.2,AU
469,Kirovo-Chepetsk,58.5539,50.0399,262.37,90,89,4.72,RU
470,Menongue,-14.6585,17.691,290.4,99,94,1.69,AO
471,Phu Ly,20.5411,105.9139,292.85,45,91,1.38,VN
472,Nantucket,41.2835,-70.0995,278.15,1,56,8.75,US
473,Lincoln,40.8,-96.667,283.15,90,76,3.09,US
474,Bengkulu,-3.8004,102.2655,297.54,100,79,1.72,ID
475,Palmer,42.1584,-72.3287,279.82,20,19,7.72,US
476,Bud,39.447,-86.1758,284.26,93,35,2.2,US
477,Lata,40.1629,-8.3327,285.37,2,83,2.24,PT
478,Safaga,26.7292,33.9365,293.16,100,37,7.65,EG
479,Sur,22.5667,59.5289,298.56,0,43,7.29,OM
480,Ahipara,-35.1667,173.1667,293.17,1,59,2.18,NZ
481,Bryan,30.6744,-96.37,300.37,90,50,8.75,US
482,Manaus,-3.1019,-60.025,301.15,75,78,1.03,BR
483,Asilah,35.465,-6.0348,284.15,0,87,1.54,MA
484,Calabozo,8.9242,-67.4293,305.23,100,41,3.97,VE
485,Les Trois-Îlets,14.539,-61.0361,300.15,0,65,4.63,MQ
486,Rockport,28.0206,-97.0544,297.15,90,83,7.72,US
487,Gaza,31.5,34.4667,286.48,0,82,0.51,PS
488,Pangai,-19.8,-174.35,301.15,40,78,1.03,TO
489,Honiara,-9.4333,159.95,298.39,100,86,0.94,SB
490,Lerwick,60.1545,-1.1494,279.15,20,87,11.32,GB
491,Kirgiz-Miyaki,53.6324,54.7979,255.35,39,81,3.28,RU
492,Lagoa,39.05,-27.9833,288.68,11,84,11.97,PT
493,Clovis,36.8252,-119.7029,292.04,40,39,1.54,US
494,Yanam,16.7333,82.2167,292.45,0,88,0.68,IN
495,Champerico,14.3,-91.9167,303.15,40,74,4.12,GT
496,Hūn,29.1268,15.9477,292.05,100,30,8.31,LY
497,Matipó,-20.2839,-42.3411,293.0,26,89,1.53,BR
498,Vestmanna,62.1564,-7.1664,278.15,75,93,15.95,FO
499,Estelle,29.8458,-90.1067,298.15,75,57,4.63,US
500,Old Shinyanga,-3.55,33.4,291.93,74,65,2.13,TZ
501,Iwaki,37.05,140.8833,284.82,45,57,6.26,JP
502,Riberalta,-10.9833,-66.1,299.15,75,89,1.19,BO
503,Koumra,8.9126,17.5539,303.04,67,29,1.35,TD
504,Jinxi,30.4323,116.2922,283.16,0,90,0.93,CN
505,Mahon,39.8885,4.2658,285.15,20,82,3.6,ES
506,Itapuranga,-15.5622,-49.9486,295.73,77,87,0.95,BR
507,Saravan,39.7196,45.6483,270.15,40,80,3.09,AM
508,Staryy Nadym,65.6118,72.6842,261.42,90,94,5.29,RU
509,Shache,38.4167,77.2406,281.8,99,33,1.74,CN
510,Paka,4.6374,103.4368,298.15,71,94,2.05,MY
511,Karratha,-20.7377,116.8463,300.53,31,62,5.67,AU
512,Belmonte,-15.8631,-38.8828,299.15,20,69,4.12,BR
513,Margherita,27.2833,95.6833,293.44,40,59,1.03,IN
514,Raudeberg,61.9875,5.1352,277.59,91,77,6.33,NO
515,Miyang,24.4042,103.4428,284.98,1,96,1.15,CN
516,Lima,-12.0432,-77.0282,300.15,0,65,3.6,PE
517,Kosh-Agach,50.0,88.6667,247.31,0,67,1.73,RU
518,Nanortalik,60.1432,-45.2371,270.36,100,76,1.97,GL
519,Gemena,3.25,19.7667,296.44,80,90,2.56,CD
520,Cacoal,-11.4386,-61.4472,298.15,100,88,0.84,BR
521,Katobu,-4.9408,122.5276,296.81,38,91,0.33,ID
522,Tūkrah,32.5341,20.5791,286.13,100,64,2.54,LY
523,Alvorada,-12.48,-49.1247,297.7,100,82,0.67,BR
524,Kununurra,-15.7667,128.7333,299.15,75,100,4.64,AU
525,Poum,-20.2333,164.0167,299.74,94,73,6.62,NC
526,Natal,-5.795,-35.2094,301.15,75,69,7.2,BR
527,Kaliua,-5.0606,31.7936,292.46,99,72,2.01,TZ
528,Berlevåg,70.8578,29.0864,268.74,99,83,3.65,NO
529,Indiana,40.0003,-86.2503,285.37,1,27,1.72,US
530,Plettenberg Bay,-34.0527,23.3716,293.61,73,71,1.59,ZA
531,San Quintín,30.4833,-115.95,288.89,7,54,7.42,MX
532,Bulgan,48.8125,103.5347,277.66,100,40,6.52,MN
533,Belyy Yar,53.6039,91.3903,258.15,0,56,6.0,RU
534,Port Lincoln,-34.7333,135.8667,287.89,50,56,4.51,AU
535,Mago,53.2514,140.1822,270.39,93,93,2.2,RU
536,Wangkui,46.8333,126.5,268.77,23,83,4.7,CN
537,Montemurlo,43.9217,11.0311,285.37,20,76,1.03,IT
538,Ghanzi,-21.5667,21.7833,295.31,14,53,3.49,BW
539,Morón,-34.6534,-58.6198,300.37,0,33,2.24,AR
540,Birao,10.2849,22.7882,302.01,72,14,2.92,CF
541,Guangyuan,32.442,105.823,289.82,100,87,0.89,CN
542,Road Town,18.4167,-64.6167,301.15,40,61,3.09,VG
543,Paamiut,61.994,-49.6678,265.22,100,56,4.26,GL
544,Buchanan,5.8808,-10.0467,298.15,75,94,3.54,LR
545,Le Vauclin,14.5452,-60.8388,300.15,0,65,4.63,MQ
546,Sakhnovshchyna,49.1517,35.872,274.4,100,97,4.46,UA
547,Tuatapere,-46.1333,167.6833,292.04,0,60,3.58,NZ
548,Bama,11.5221,13.6856,304.28,0,11,4.39,NG
549,Kruisfontein,-34.0033,24.7314,294.26,83,67,1.34,ZA
550,Mattru,7.6244,-11.8332,299.32,100,80,2.11,SL
551,Maumere,-8.6199,122.2111,299.13,24,82,0.81,ID
552,Nyagan,62.1406,65.3936,261.17,0,90,4.13,RU
553,Joshīmath,30.5667,79.5667,282.08,0,18,3.1,IN
554,Beitbridge,-22.2167,30.0,296.0,9,71,4.35,ZW
555,Kaoma,-14.7833,24.8,290.46,34,96,1.3,ZM
556,Solnechnyy,50.7214,136.6319,268.86,77,91,3.06,RU
557,Salina Cruz,16.1667,-95.2,306.96,0,47,4.39,MX
558,Boyuibe,-20.4167,-63.2833,305.15,20,40,1.53,BO
